season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,season_type
2022,REG,ARI,1,00-0027993,C,Rodney Hudson,Rodney,Hudson,,,,Not injury related - resting player,,Did Not Participate In Practice,2022-09-07 21:10:03+00:00,
2022,REG,ARI,1,00-0028946,LS,Aaron Brewer,Aaron,Brewer,,,,Ankle,,Full Participation in Practice,2022-09-09 19:55:06+00:00,
2022,REG,ARI,1,00-0032127,LB,Markus Golden,Markus,Golden,,,,Toe,,Full Participation in Practice,2022-09-09 19:55:29+00:00,
2022,REG,ARI,1,00-0034490,LB,Ezekiel Turner,Ezekiel,Turner,,,,Shoulder,,Full Participation in Practice,2022-09-09 19:55:44+00:00,
2022,REG,ARI,1,00-0035924,RB,Jonathan Ward,Jonathan,Ward,,,,Shoulder,,Full Participation in Practice,2022-09-09 19:55:49+00:00,
2022,REG,ARI,1,00-0035238,G,Cody Ford,Cody,Ford,Ankle,,Out,Ankle,,Did Not Participate In Practice,2022-09-09 19:57:46+00:00,
2022,REG,ARI,1,00-0036936,WR,Rondale Moore,Rondale,Moore,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2022-09-09 19:57:54+00:00,
2022,REG,ARI,1,00-0035695,CB,Trayvon Mullen,Trayvon,Mullen,Toe,,Out,Toe,,Did Not Participate In Practice,2022-09-09 19:58:03+00:00,
2022,REG,ARI,1,00-0035236,CB,Byron Murphy,Byron,Murphy,Illness,,Questionable,Illness,,Did Not Participate In Practice,2022-09-09 19:57:26+00:00,
2022,REG,ARI,1,00-0027949,DE,J.J. Watt,J.J.,Watt,Calf,,Questionable,Calf,,Did Not Participate In Practice,2022-09-09 19:57:26+00:00,
2022,REG,ARI,1,00-0030061,TE,Zach Ertz,Zach,Ertz,Calf,,Questionable,Calf,,Limited Participation in Practice,2022-09-09 19:57:26+00:00,
2022,REG,ARI,1,00-0030585,G,Justin Pugh,Justin,Pugh,Neck,,Questionable,Neck,,Limited Participation in Practice,2022-09-09 19:57:26+00:00,
2022,REG,ATL,1,00-0035572,TE,Parker Hesse,Parker,Hesse,,,,Not injury related - personal matter,,Did Not Participate In Practice,2022-09-07 19:52:14+00:00,
2022,REG,ATL,1,00-0036956,CB,Darren Hall,Darren,Hall,Quadricep,,Questionable,Quadricep,,Limited Participation in Practice,2022-09-09 19:03:53+00:00,
2022,REG,ATL,1,00-0037238,WR,Drake London,Drake,London,Knee,,Questionable,Knee,,Limited Participation in Practice,2022-09-09 19:03:53+00:00,
2022,REG,BAL,1,00-0026190,DE,Calais Campbell,Calais,Campbell,,,,Not injury related - resting player,,Did Not Participate In Practice,2022-09-09 19:12:38+00:00,
2022,REG,BAL,1,00-0028008,LB,Justin Houston,Justin,Houston,,,,Not injury related - resting player,,Did Not Participate In Practice,2022-09-09 19:13:09+00:00,
2022,REG,BAL,1,00-0031598,TE,Nick Boyle,Nick,Boyle,,,,Not injury related - resting player,Ankle,Full Participation in Practice,2022-09-09 19:13:31+00:00,
2022,REG,BAL,1,00-0037756,DT,Travis Jones,Travis,Jones,Knee,,Out,Knee,,Did Not Participate In Practice,2022-09-09 19:24:18+00:00,
2022,REG,BAL,1,00-0032965,T,Ronnie Stanley,Ronnie,Stanley,Ankle,,Doubtful,Ankle,,Limited Participation in Practice,2022-09-09 19:24:42+00:00,
2022,REG,BAL,1,00-0032165,CB,Marcus Peters,Marcus,Peters,Not injury related - resting player,Knee,Questionable,Not injury related - resting player,Knee,Did Not Participate In Practice,2022-09-09 19:24:00+00:00,
2022,REG,BAL,1,00-0036158,RB,J.K. Dobbins,J.K.,Dobbins,Knee,,Questionable,Knee,,Limited Participation in Practice,2022-09-09 19:24:00+00:00,
2022,REG,BUF,1,00-0033466,WR,Isaiah McKenzie,Isaiah,McKenzie,,,,Groin,,Full Participation in Practice,2022-09-07 15:10:14+00:00,
2022,REG,BUF,1,00-0030114,S,Jordan Poyer,Jordan,Poyer,,,,Elbow,,Full Participation in Practice,2022-09-07 15:10:14+00:00,
2022,REG,BUF,1,00-0034397,DT,Tim Settle,Tim,Settle,,,,Calf,,Full Participation in Practice,2022-09-07 15:10:14+00:00,
2022,REG,BUF,1,00-0031588,WR,Stefon Diggs,Stefon,Diggs,,,,Not injury related - resting player,,Limited Participation in Practice,2022-09-06 18:44:33+00:00,
2022,REG,BUF,1,00-0036560,T,Tommy Doyle,Tommy,Doyle,Foot,,Questionable,Foot,,Limited Participation in Practice,2022-09-07 15:10:38+00:00,
2022,REG,BUF,1,00-0036590,TE,Quintin Morris,Quintin,Morris,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2022-09-07 15:10:38+00:00,
2022,REG,CAR,1,00-0033280,RB,Christian McCaffrey,Christian,McCaffrey,,,,Shin,,Full Participation in Practice,2022-09-09 18:00:48+00:00,
2022,REG,CAR,1,00-0034173,K,Eddy Pineiro,Eddy,Pineiro,,,,left Hip,,Full Participation in Practice,2022-09-09 18:00:28+00:00,
2022,REG,CAR,1,00-0035956,TE,Giovanni Ricci,Giovanni,Ricci,,,,Hip,,Full Participation in Practice,2022-09-09 18:00:01+00:00,
2022,REG,CAR,1,00-0038113,LB,Brandon Smith,Brandon,Smith,Thigh,,Questionable,Thigh,,Limited Participation in Practice,2022-09-09 18:40:04+00:00,
2022,REG,CHI,1,00-0037745,WR,Velus Jones,Velus,Jones,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2022-09-09 19:05:34+00:00,
2022,REG,CHI,1,00-0037082,DE,Dominique Robinson,Dominique,Robinson,Knee,,Questionable,Knee,,Limited Participation in Practice,2022-09-09 19:05:54+00:00,
2022,REG,CIN,1,00-0035631,TE,Drew Sample,Drew,Sample,,,,Knee,,Full Participation in Practice,2022-09-09 19:00:45+00:00,
2022,REG,CIN,1,00-0036194,TE,Devin Asiasi,Devin,Asiasi,Quadricep,,Out,Quadricep,,Did Not Participate In Practice,2022-09-09 19:01:33+00:00,
2022,REG,CIN,1,00-0035771,TE,Mitchell Wilcox,Mitchell,Wilcox,Ankle,,Questionable,Ankle,,Full Participation in Practice,2022-09-09 19:02:24+00:00,
2022,REG,CIN,1,00-0033292,WR,Trent Taylor,Trent,Taylor,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2022-09-09 19:02:04+00:00,
2022,REG,CLE,1,00-0035638,CB,Greedy Williams,Greedy,Williams,,,,Hamstring,,Did Not Participate In Practice,2022-09-08 19:36:15+00:00,
2022,REG,CLE,1,00-0031364,DE,Jadeveon Clowney,Jadeveon,Clowney,,,,Illness,Elbow,Full Participation in Practice,2022-09-09 18:26:47+00:00,
2022,REG,CLE,1,00-0036282,S,Grant Delpit,Grant,Delpit,,,,Hip,,Full Participation in Practice,2022-09-09 18:26:54+00:00,
